province_norm,year,province,population,population_imputed_from_nearest,denuncies,denuncies_per100k,ordres,ordres_per100k,feminicidis,feminicidis_per100k,immigracio,immigracio_per100k,votes,votes_per100k,atur_annual_mean_pct,n_quarters,atur_used_pct,unemployed_est,unemployed_per100k
a coruna,2000,,1100954.0,True,,,,,,,,,775.0,70.39349509607122,,,,,
a coruna,2003,A Coruna,1100954.0,False,12540.0,1139.012165812559,0.0,0.0,3.0,0.2724909487589854,18212.0,1654.2017195995472,0.0,0.0,13.755,4.0,13.755,151436.2227,13755.0
a coruna,2004,A Coruna,1104699.0,False,13880.0,1256.4508522230942,5420.0,490.63138465772124,1.0,0.0905223956933065,19945.0,1805.469182102998,926.0,83.82373841200182,14.5075,4.0,14.5075,160264.207425,14507.500000000002
a coruna,2005,A Coruna,1109955.0,False,10550.0,950.4889837876311,4060.0,365.7805947087945,0.0,0.0,23855.0,2149.1862282705156,0.0,0.0,9.6325,4.0,9.6325,106916.41537500001,9632.5
a coruna,2006,A Coruna,1115415.0,False,22010.0,1973.2565905963254,6530.0,585.4323278779647,0.0,0.0,25468.0,2283.275731454212,0.0,0.0,8.1225,4.0,8.1225,90599.583375,8122.500000000001
a coruna,2007,A Coruna,1121347.0,False,19830.0,1768.4088868120216,5010.0,446.7840909192248,2.0,0.17835692252264465,28137.0,2509.214364509826,0.0,0.0,8.2225,4.0,8.2225,92202.757075,8222.5
a coruna,2008,A Coruna,1128599.0,False,24020.0,2128.3024351430404,4340.0,384.5475673822146,2.0,0.17721086054479934,6645.0,588.7830841600959,1128.0,99.94692534726684,8.9175,4.0,8.9175,100642.815825,8917.5
a coruna,2009,A Coruna,1135287.0,False,24000.0,2114.0028908989534,4050.0,356.73798783919835,2.0,0.17616690757491277,4131.0,363.87274759598233,0.0,0.0,11.47,4.0,11.47,130217.41890000002,11470.000000000002
a coruna,2010,A Coruna,1138107.0,False,19970.0,1754.6680584514459,4020.0,353.21810690910434,1.0,0.08786520072365779,3873.0,340.30192240272663,0.0,0.0,13.98,4.0,13.98,159107.3586,13980.0
a coruna,2011,A Coruna,1140069.0,False,18750.0,1644.637298268789,3970.0,348.22453728677823,2.0,0.17542797848200417,4197.0,368.13561284448576,0.0,0.0,15.8275,4.0,15.8275,180444.420975,15827.5
a coruna,2012,A Coruna,1141178.0,False,16330.0,1430.977463638451,3590.0,314.5872072542583,3.0,0.26288624561637186,2979.0,261.04604189705725,0.0,0.0,18.38,4.0,18.38,209748.5164,18380.0
a coruna,2013,A Coruna,1137890.0,False,17720.0,1557.2682772499977,4140.0,363.8313017954284,0.0,0.0,2655.0,233.32659571663342,0.0,0.0,20.18,4.0,20.18,229626.20200000002,20180.0
a coruna,2014,A Coruna,1132596.0,False,19280.0,1702.2839565034662,4120.0,363.76607369264946,1.0,0.08829273633316734,2831.0,249.95673655919677,0.0,0.0,19.955,4.0,19.955,226009.53179999997,19954.999999999996
a coruna,2015,A Coruna,1127596.0,False,19250.0,1707.1717175300375,4980.0,441.6475404311474,1.0,0.08868424506649544,3291.0,291.85985051383653,0.0,0.0,17.4075,4.0,17.4075,196286.2737,17407.499999999996
a coruna,2016,A Coruna,1123015.0,False,21930.0,1952.7789032203486,6140.0,546.7424744994502,1.0,0.08904600561880295,4582.0,408.0087977453552,0.0,0.0,15.4125,4.0,15.4125,173084.68687499998,15412.499999999998
a coruna,2017,A Coruna,1120302.0,False,24420.0,2179.769383612633,7210.0,643.5764642034023,0.0,0.0,6381.0,569.5785600668391,0.0,0.0,14.1625,4.0,14.1625,158662.77075,14162.5
a coruna,2018,A Coruna,1120074.0,False,26520.0,2367.7007054891014,7670.0,684.7761844306716,2.0,0.17855963088153104,8303.0,741.2903076046761,0.0,0.0,12.23,4.0,12.23,136985.0502,12230.0
a coruna,2019,A Coruna,1120432.0,False,27880.0,2488.3259314264496,7820.0,697.945078326931,0.0,0.0,8951.0,798.888285946849,27426.0,2447.8058463164207,10.2025,4.0,10.2025,114312.0748,10202.5
a coruna,2020,A Coruna,1121994.0,False,25240.0,2249.566396968255,9540.0,850.2719265878427,0.0,0.0,4940.0,440.28755947001497,0.0,0.0,11.2325,4.0,11.2325,126027.97605,11232.5
a coruna,2021,A Coruna,1120501.0,False,25870.0,2308.7886579306933,8630.0,770.1911912617659,1.0,0.08924579273021621,6051.0,540.0262918105383,0.0,0.0,10.6,4.0,10.6,118773.106,10600.0
a coruna,2022,A Coruna,1119164.0,False,29320.0,2619.8126458678084,8040.0,718.3933721956746,0.0,0.0,16599.0,1483.1606449099506,0.0,0.0,10.1,4.0,10.1,113035.564,10100.0
a coruna,2023,A Coruna,1123884.0,False,31550.0,2807.2292158265445,8220.0,731.3922077367415,1.0,0.08897715422588096,16591.0,1476.219965761591,27539.0,2450.341850226536,9.1025,4.0,9.1025,102301.54109999999,9102.5
a coruna,2024,A Coruna,1128449.0,False,32170.0,2850.815588475864,6810.0,603.4831879863424,2.0,0.17723441644239127,,,0.0,0.0,7.98,4.0,7.98,90050.2302,7980.000000000001
alacant,2000,,1542318.0,True,,,,,,,,,485.0,31.44617387594517,,,,,
alacant,2003,Alacant,1542318.0,False,36300.0,2353.6002303027003,0.0,0.0,1.0,0.06483747190916529,245883.0,15942.43210544129,0.0,0.0,12.3375,4.0,12.3375,190283.48325,12337.5
alacant,2004,Alacant,1602174.0,False,49610.0,3096.417742392524,20230.0,1262.6593615924362,1.0,0.06241519335602749,260316.0,16247.673473667654,709.0,44.252372089423496,10.615,4.0,10.615,170070.77010000002,10615.0
alacant,2005,Alacant,1661660.0,False,39270.0,2363.2993512511584,17700.0,1065.1998603805832,4.0,0.24072313228939732,321640.0,19356.547067390442,0.0,0.0,9.625,4.0,9.625,159934.775,9625.0
alacant,2006,Alacant,1713934.0,False,68590.0,4001.9043907174955,20920.0,1220.5837564340284,3.0,0.1750359115345165,359150.0,20954.715875873866,0.0,0.0,9.6225,4.0,9.6225,164923.29915,9622.5
alacant,2007,Alacant,1766320.0,False,65700.0,3719.5978078717335,23430.0,1326.4867068254903,6.0,0.33968929752253274,392907.0,22244.383803614295,0.0,0.0,10.5025,4.0,10.5025,185507.758,10502.5
alacant,2008,Alacant,1817519.0,False,73770.0,4058.8296463475763,25130.0,1382.6540465326634,4.0,0.22008023024793688,28514.0,1568.841921322418,626.0,34.44255603380213,13.4875,4.0,13.4875,245137.875125,13487.5
alacant,2009,Alacant,1836134.0,False,77570.0,4224.637199681504,24190.0,1317.4419731893206,4.0,0.21784902409083434,20175.0,1098.7760152581457,0.0,0.0,21.9625,4.0,21.9625,403260.92974999995,21962.5
alacant,2010,Alacant,1840085.0,False,71460.0,3883.516250607988,22340.0,1214.074349826231,4.0,0.21738126227864474,19881.0,1080.439218840434,0.0,0.0,24.16,4.0,24.16,444564.536,24160.0
alacant,2011,Alacant,1844439.0,False,72870.0,3950.7947945147553,24620.0,1334.8232172492555,3.0,0.16265108252427973,21683.0,1175.587807457986,0.0,0.0,23.9075,4.0,23.9075,440959.25392499997,23907.5
alacant,2012,Alacant,1853209.0,False,72460.0,3909.974536061502,20670.0,1115.3625953683584,3.0,0.16188136362385463,19057.0,1028.3243821932658,0.0,0.0,28.025,4.0,28.025,519361.82225,28025.0
alacant,2013,Alacant,1852733.0,False,65000.0,3508.330666102455,19460.0,1050.340227113135,3.0,0.16192295382011332,19922.0,1075.2763620014325,0.0,0.0,28.255,4.0,28.255,523489.70914999995,28254.999999999996
alacant,2014,Alacant,1848236.0,False,63550.0,3438.413709071785,17910.0,969.0320933041019,5.0,0.2705282225862931,20374.0,1102.3484013946272,0.0,0.0,26.03,4.0,26.03,481095.83080000005,26030.000000000004
alacant,2015,Alacant,1838578.0,False,67600.0,3676.7545352984753,18420.0,1001.8612210088448,7.0,0.38072901992735686,21396.0,1163.725444337961,0.0,0.0,24.22,4.0,24.22,445303.5916,24220.0
alacant,2016,Alacant,1837873.0,False,74960.0,4078.627848605426,18240.0,992.4516003010001,3.0,0.16323217110213817,25319.0,1377.6251133783455,617.0,33.57141652333975,20.795,4.0,20.795,382185.69035000005,20795.000000000004
alacant,2017,Alacant,1836715.0,False,89950.0,4897.330288041422,19960.0,1086.722763194072,2.0,0.10889005643227175,31837.0,1733.3663633171177,0.0,0.0,18.1075,4.0,18.1075,332583.16862500005,18107.5
alacant,2018,Alacant,1839319.0,False,88460.0,4809.388692227939,20510.0,1115.086616296575,1.0,0.054367948137326906,40465.0,2199.999021376934,0.0,0.0,16.1675,4.0,16.1675,297371.899325,16167.500000000002
alacant,2019,Alacant,1855384.0,False,94460.0,5091.129383459165,22390.0,1206.758277531767,5.0,0.2694859931960176,45190.0,2435.6144065056073,44890.0,2419.4452469138464,14.85,4.0,14.85,275524.524,14850.0
alacant,2020,Alacant,1877627.0,False,81550.0,4343.248153120934,20300.0,1081.1519007768848,2.0,0.10651742864796894,31039.0,1653.0972339021541,0.0,0.0,18.0275,4.0,18.0275,338489.207425,18027.5
alacant,2021,Alacant,1887036.0,False,86020.0,4558.4715924868415,22710.0,1203.474655491469,4.0,0.21197263857181317,38160.0,2022.2189719750975,0.0,0.0,18.705,4.0,18.705,352970.08379999996,18705.0
alacant,2022,Alacant,1907494.0,False,97800.0,5127.145878309447,22130.0,1160.160923179837,2.0,0.10484960896338338,84745.0,4442.740055800961,0.0,0.0,14.645,4.0,14.645,279352.4963,14645.0
alacant,2023,Alacant,1955268.0,False,109220.0,5585.935022718113,24590.0,1257.6281103153124,2.0,0.10228776822410021,81414.0,4163.828181098448,53492.0,2735.7886489217844,13.3925,4.0,13.3925,261859.2669,13392.499999999998
alacant,2024,Alacant,1993289.0,False,108680.0,5452.295176464627,21660.0,1086.64624146323,4.0,0.20067335945766018,,,0.0,0.0,13.64,4.0,13.64,271884.6196,13640.0
albacete,2000,,370383.0,True,,,,,,,,,370.0,99.89659352616076,,,,,
albacete,2003,Albacete,370383.0,False,4770.0,1287.8560841075318,0.0,0.0,1.0,0.269990793313948,13318.0,3595.737385355159,0.0,0.0,7.7,4.0,7.7,28519.490999999998,7700.0
albacete,2004,Albacete,374717.0,False,6710.0,1790.6847033894912,2760.0,736.5558541512661,2.0,0.5337361261965697,16065.0,4287.235433673945,622.0,165.99193524713317,9.005,4.0,9.005,33743.26585,9005.0
albacete,2005,Albacete,379276.0,False,4890.0,1289.2985583058248,2430.0,640.694375599827,0.0,0.0,20552.0,5418.745188200677,0.0,0.0,9.84,4.0,9.84,37320.7584,9840.0
albacete,2006,Albacete,383458.0,False,12400.0,3233.7309431541394,3340.0,871.0210766237761,0.0,0.0,22811.0,5948.761011636216,0.0,0.0,10.015,4.0,10.015,38403.3187,10015.0
albacete,2007,Albacete,389127.0,False,8450.0,2171.527547561593,3150.0,809.5043520495879,1.0,0.2569855085871708,26348.0,6771.054180254775,0.0,0.0,9.1625,4.0,9.1625,35653.761375,9162.5
albacete,2008,Albacete,394521.0,False,7790.0,1974.5463486100866,2820.0,714.7908476354871,0.0,0.0,3492.0,885.123985795433,520.0,131.80540452852955,12.1975,4.0,12.1975,48121.698975,12197.5
albacete,2009,Albacete,397881.0,False,9590.0,2410.2683968322185,3500.0,879.6599988438755,0.0,0.0,2234.0,561.4744106906337,0.0,0.0,19.77,4.0,19.77,78661.0737,19770.0
albacete,2010,Albacete,399448.0,False,9420.0,2358.2543910596623,2990.0,748.5329755061986,0.0,0.0,1761.0,440.85838457070764,0.0,0.0,22.665,4.0,22.665,90534.88919999999,22664.999999999996
albacete,2011,Albacete,400847.0,False,8840.0,2205.3302132733934,3390.0,845.7092107462448,0.0,0.0,1772.0,442.0639296290106,0.0,0.0,24.715,4.0,24.715,99069.33605,24715.0
albacete,2012,Albacete,401590.0,False,7040.0,1753.0316989964888,2620.0,652.4066834333524,1.0,0.24901018451654675,1195.0,297.56717049727337,0.0,0.0,31.9175,4.0,31.9175,128177.48825,31917.5
albacete,2013,Albacete,399093.0,False,8100.0,2029.6021228134796,3410.0,854.4374368881438,1.0,0.2505681633103061,1075.0,269.36077555857906,0.0,0.0,30.9875,4.0,30.9875,123668.943375,30987.5
albacete,2014,Albacete,396017.0,False,8080.0,2040.3164510614445,3320.0,838.3478487034647,0.0,0.0,1199.0,302.76478029983565,0.0,0.0,27.5175,4.0,27.5175,108973.977975,27517.5
albacete,2015,Albacete,394012.0,False,7970.0,2022.7810320497854,3570.0,906.0637747073692,0.0,0.0,1238.0,314.20362831588886,0.0,0.0,24.6825,4.0,24.6825,97252.01190000001,24682.500000000004
albacete,2016,Albacete,391865.0,False,8170.0,2084.9016880813547,2900.0,740.0507827950952,0.0,0.0,1522.0,388.3990660048741,0.0,0.0,23.8275,4.0,23.8275,93371.63287500001,23827.5
albacete,2017,Albacete,390225.0,False,8200.0,2101.3517842270485,2530.0,648.3439041578577,0.0,0.0,1866.0,478.18566211800885,0.0,0.0,23.155,4.0,23.155,90356.59875,23155.0
albacete,2018,Albacete,388948.0,False,9010.0,2316.5050340919606,3440.0,884.436994148318,0.0,0.0,2489.0,639.9313018706871,0.0,0.0,19.7325,4.0,19.7325,76749.16410000001,19732.500000000004
albacete,2019,Albacete,387818.0,False,9690.0,2498.5947016383975,3710.0,956.6342975313162,0.0,0.0,3235.0,834.1541650980614,26631.0,6866.880856484227,17.185000000000002,4.0,17.185000000000002,66646.52330000002,17185.000000000004
albacete,2020,Albacete,387838.0,False,9430.0,2431.42755480381,3980.0,1026.201661518469,1.0,0.2578396134468515,2094.0,539.916150557707,0.0,0.0,18.2625,4.0,18.2625,70828.91475,18262.499999999996
albacete,2021,Albacete,386726.0,False,10400.0,2689.242512786831,3270.0,845.5599054627825,0.0,0.0,2334.0,603.5280793119676,0.0,0.0,15.5275,4.0,15.5275,60048.879649999995,15527.5
albacete,2022,Albacete,385967.0,False,9990.0,2588.304181445564,3470.0,899.0405915531638,1.0,0.2590895076522086,6622.0,1715.6907196729253,0.0,0.0,12.8475,4.0,12.8475,49587.110325,12847.5
albacete,2023,Albacete,387529.0,False,11160.0,2879.7844806453195,3760.0,970.2499683894624,0.0,0.0,6624.0,1709.291433673351,29203.0,7535.694102892945,11.9575,4.0,11.9575,46338.780175,11957.5
albacete,2024,Albacete,389070.0,False,10880.0,2796.4119567173,3570.0,917.5726732978642,0.0,0.0,,,0.0,0.0,11.315,4.0,11.315,44023.2705,11315.0
almeria,2000,,560655.0,True,,,,,,,,,487.0,86.86268739242493,,,,,
almeria,2003,Almeria,560655.0,False,12780.0,2279.476683521952,0.0,0.0,1.0,0.1783628077873202,56276.0,10037.54537103923,0.0,0.0,11.295,4.0,11.295,63325.982249999994,11295.0
almeria,2004,Almeria,577427.0,False,13770.0,2384.7170291655916,3260.0,564.5735305068865,2.0,0.3463641291453292,66181.0,11461.362215483516,609.0,105.46787732475273,9.7925,4.0,9.7925,56544.538974999996,9792.5
almeria,2005,Almeria,603215.0,False,10490.0,1739.0151106985072,2640.0,437.65489916530595,2.0,0.3315567417918984,93058.0,15427.00363883524,0.0,0.0,9.2,4.0,9.2,55495.78,9200.0
almeria,2006,Almeria,627719.0,False,26660.0,4247.123314731592,4950.0,788.569407648964,3.0,0.47792085312058424,110656.0,17628.26997430379,0.0,0.0,9.265,4.0,9.265,58158.16535,9265.000000000002
almeria,2007,Almeria,642797.0,False,22980.0,3575.0011278832976,5150.0,801.1860665186675,1.0,0.15557011000362478,116214.0,18079.424763961248,0.0,0.0,11.445,4.0,11.445,73568.11665,11445.0
almeria,2008,Almeria,659443.0,False,24810.0,3762.266033607151,3630.0,550.4645587260765,1.0,0.15164312912564087,17207.0,2609.323322864903,543.0,82.342219115223,19.3925,4.0,19.3925,127882.48377499999,19392.5
almeria,2009,Almeria,673042.0,False,26040.0,3869.000745867271,3630.0,539.3422698732026,3.0,0.4457374131183492,9903.0,1471.3792007036707,0.0,0.0,26.5725,4.0,26.5725,178844.08544999998,26572.5
almeria,2010,Almeria,680484.0,False,27520.0,4044.1803187143273,3660.0,537.8524697127339,5.0,0.7347711334873414,8291.0,1218.3974935487095,0.0,0.0,28.0125,4.0,28.0125,190620.5805,28012.5
almeria,2011,Almeria,686448.0,False,23570.0,3433.6176957322327,2690.0,391.872363238002,6.0,0.8740647507167331,7492.0,1091.415518728294,493.0,71.81898701722491,33.505,4.0,33.505,229994.40240000002,33505.0
almeria,2012,Almeria,689320.0,False,21230.0,3079.846805547496,3330.0,483.0847792026925,0.0,0.0,5959.0,864.475134915569,0.0,0.0,35.315,4.0,35.315,243433.35799999998,35315.0
almeria,2013,Almeria,692434.0,False,20790.0,3002.4522192728837,4770.0,688.8743187076313,1.0,0.14441809616512188,5286.0,763.3940563288343,0.0,0.0,36.055,4.0,36.055,249657.07869999998,36055.0
almeria,2014,Almeria,690750.0,False,20840.0,3017.0104958378574,6410.0,927.976836771625,2.0,0.2895403546869345,5922.0,857.328990228013,0.0,0.0,35.597500000000004,4.0,35.597500000000004,245889.73125000004,35597.50000000001
almeria,2015,Almeria,694051.0,False,23060.0,3322.522408295644,7570.0,1090.6979458281883,2.0,0.2881632617775927,6562.0,945.4636618922816,0.0,0.0,28.99,4.0,28.99,201205.3849,28990.0
almeria,2016,Almeria,700055.0,False,26750.0,3821.1283399161493,9860.0,1408.46076379713,0.0,0.0,7893.0,1127.4828406339502,758.0,108.27720679089501,23.5825,4.0,23.5825,165090.470375,23582.5
almeria,2017,Almeria,704871.0,False,32990.0,4680.289017423046,10990.0,1559.150539602282,3.0,0.4256097924301043,10218.0,1449.626953016935,0.0,0.0,24.37,4.0,24.37,171777.0627,24370.0
almeria,2018,Almeria,707319.0,False,43520.0,6152.810825101546,13780.0,1948.201589381877,2.0,0.28275785041826956,13420.0,1897.3051763065887,0.0,0.0,22.5775,4.0,22.5775,159694.947225,22577.5
almeria,2019,Almeria,714123.0,False,38590.0,5403.830992700137,16160.0,2262.9154921491113,1.0,0.14003189926665294,15340.0,2148.089334750456,62648.0,8772.718425257273,17.615000000000002,4.0,17.615000000000002,125792.76645000002,17615.000000000004
almeria,2020,Almeria,724003.0,False,33650.0,4647.770796529849,11580.0,1599.4408862946702,0.0,0.0,11099.0,1533.0046974943473,0.0,0.0,21.905,4.0,21.905,158592.85715000003,21905.000000000004
almeria,2021,Almeria,730430.0,False,33000.0,4517.886724258314,8530.0,1167.8052653916186,1.0,0.13690565831085796,12486.0,1709.4040496693729,0.0,0.0,19.255000000000003,4.0,19.255000000000003,140644.29650000003,19255.000000000004
almeria,2022,Almeria,739541.0,False,40700.0,5503.413603843464,11370.0,1537.4401148820689,1.0,0.1352190074654414,25241.0,3413.0629674352062,0.0,0.0,17.15,4.0,17.15,126831.28149999998,17150.0
almeria,2023,Almeria,753364.0,False,42710.0,5669.238243398941,10440.0,1385.7842955065546,1.0,0.13273795933970828,22977.0,3049.9200917484777,68364.0,9074.497852299817,15.972499999999998,4.0,15.972499999999998,120331.06489999998,15972.499999999998
almeria,2024,Almeria,760964.0,False,43460.0,5711.176875647206,11850.0,1557.2352962820844,2.0,0.2628245225792547,,,0.0,0.0,15.285,4.0,15.285,116313.34740000001,15285.000000000002
araba,2000,,290746.0,True,,,,,,,,,150.0,51.59142344176704,,,,,
araba,2003,Araba,290746.0,False,3400.0,1169.4055980133862,0.0,0.0,0.0,0.0,10445.0,3592.4827856617117,0.0,0.0,9.345,4.0,9.345,27170.2137,9345.0
araba,2004,Araba,294304.0,False,4430.0,1505.2462759595521,2430.0,825.6768511471132,0.0,0.0,12058.0,4097.124062194193,711.0,241.586930520822,9.3825,4.0,9.3825,27613.0728,9382.5
araba,2005,Araba,298830.0,False,4890.0,1636.3818893685375,2600.0,870.0599002777499,0.0,0.0,15141.0,5066.760365425158,0.0,0.0,7.157500000000001,4.0,7.157500000000001,21388.75725,7157.5
araba,2006,Araba,302481.0,False,6280.0,2076.1634615066732,1110.0,366.96519781407756,0.0,0.0,16857.0,5572.91201761433,0.0,0.0,7.29,4.0,7.29,22050.8649,7290.000000000001
araba,2007,Araba,306475.0,False,7300.0,2381.9234847866874,2070.0,675.422138836773,1.0,0.3262908883269435,19392.0,6327.432906436088,0.0,0.0,5.44,4.0,5.44,16672.24,5440.0
araba,2008,Araba,310944.0,False,8520.0,2740.0432232170424,2290.0,736.4670165688998,1.0,0.3216013172789956,3337.0,1073.1835957600083,341.0,109.66604919213749,4.985,4.0,4.985,15500.558400000002,4985.000000000001
araba,2009,Araba,315280.0,False,7400.0,2347.1200202994164,1510.0,478.9393554935296,0.0,0.0,2174.0,689.545800558234,0.0,0.0,11.7425,4.0,11.7425,37021.754,11742.5
araba,2010,Araba,317737.0,False,7630.0,2401.357097221916,1710.0,538.1809483944269,0.0,0.0,2076.0,653.3705548928831,0.0,0.0,11.34,4.0,11.34,36031.3758,11340.0
araba,2011,Araba,319846.0,False,8080.0,2526.2157413255127,2440.0,762.8671298062192,0.0,0.0,1893.0,591.8473265258906,0.0,0.0,10.75,4.0,10.75,34383.445,10750.0
araba,2012,Araba,320566.0,False,7340.0,2289.700092960576,1380.0,430.4885733359121,1.0,0.3119482415477624,1484.0,462.9311904568794,0.0,0.0,16.572499999999998,4.0,16.572499999999998,53125.80035,16572.5
araba,2013,Araba,320199.0,False,7510.0,2345.416444148795,1570.0,490.3200821988826,1.0,0.3123057848400526,1431.0,446.90957810611525,0.0,0.0,17.5125,4.0,17.5125,56074.849875,17512.5
araba,2014,Araba,320451.0,False,6630.0,2068.9590608236517,800.0,249.64815213558393,1.0,0.3120601901694799,1460.0,455.60787764744066,0.0,0.0,17.197499999999998,4.0,17.197499999999998,55109.560724999996,17197.5
araba,2015,Araba,321541.0,False,8260.0,2568.879240905514,980.0,304.78228281929836,1.0,0.31100232940744726,1471.0,457.48442655835487,0.0,0.0,15.0125,4.0,15.0125,48271.34262499999,15012.499999999998
araba,2016,Araba,322974.0,False,8840.0,2737.0624260776412,910.0,281.7564262138748,0.0,0.0,2217.0,686.4329636441324,366.0,113.32181537832767,11.9875,4.0,11.9875,38716.508250000006,11987.500000000002
araba,2017,Araba,325250.0,False,9350.0,2874.711760184474,1180.0,362.7978478093774,1.0,0.3074558032282859,2584.0,794.4657955418908,0.0,0.0,11.2675,4.0,11.2675,36647.54375,11267.5
araba,2018,Araba,327763.0,False,9400.0,2867.925909880005,1470.0,448.4947965450646,1.0,0.30509850105106434,3156.0,962.890869317159,0.0,0.0,9.1125,4.0,9.1125,29867.403375000005,9112.500000000002
araba,2019,Araba,330104.0,False,9900.0,2999.0548433221043,1310.0,396.84463078302593,0.0,0.0,3879.0,1175.0842158834791,16255.0,4924.205704868768,8.28,4.0,8.28,27332.6112,8280.0
araba,2020,Araba,332874.0,False,8890.0,2670.680197311896,820.0,246.33945577005116,0.0,0.0,2180.0,654.9024555837944,0.0,0.0,7.8575,4.0,7.8575,26155.57455,7857.500000000001
araba,2021,Araba,333485.0,False,8200.0,2458.8812090498823,1180.0,353.83900325351965,1.0,0.29986356207925396,2330.0,698.6820996446617,0.0,0.0,11.365,4.0,11.365,37900.57025,11364.999999999998
araba,2022,Araba,333908.0,False,10790.0,3231.4290163757682,1230.0,368.3649388454305,0.0,0.0,6391.0,1914.0002635456472,0.0,0.0,9.19,4.0,9.19,30686.1452,9190.0
araba,2023,Araba,336308.0,False,11870.0,3529.502717746828,1180.0,350.86884641459613,1.0,0.29734648001236963,6203.0,1844.4402155167288,17056.0,5071.5415630909765,7.2025,4.0,7.2025,24222.583699999996,7202.499999999999
araba,2024,Araba,338594.0,False,13410.0,3960.4954606401766,2260.0,667.4660507864877,0.0,0.0,,,0.0,0.0,8.567499999999999,4.0,8.567499999999999,29009.040949999995,8567.499999999998
asturias,2000,,1062320.0,True,,,,,,,,,1075.0,101.19361397695609,,,,,
asturias,2003,Asturias,1062320.0,False,16660.0,1568.2656826568266,0.0,0.0,2.0,0.1882671887943369,19691.0,1853.5846072746442,0.0,0.0,11.3,4.0,11.3,120042.16,11300.0
asturias,2004,Asturias,1062408.0,False,19710.0,1855.2194637088578,6670.0,627.8190676275028,0.0,0.0,22429.0,2111.147506419379,867.0,81.60706621185082,10.3225,4.0,10.3225,109667.0658,10322.5
asturias,2005,Asturias,1062755.0,False,15920.0,1497.9934227550093,4990.0,469.5343705745915,1.0,0.09409506424340511,26797.0,2521.465436530527,0.0,0.0,10.0375,4.0,10.0375,106674.03312499999,10037.5
asturias,2006,Asturias,1063488.0,False,31950.0,3004.2652103267737,7170.0,674.1966058855388,3.0,0.2820906300776313,30258.0,2845.1660949629895,0.0,0.0,9.1625,4.0,9.1625,97442.088,9162.5
asturias,2007,Asturias,1065291.0,False,19260.0,1807.956699155442,6860.0,643.9555013606611,2.0,0.18774212867657758,32720.0,3071.461225148809,0.0,0.0,8.4175,4.0,8.4175,89670.869925,8417.5
asturias,2008,Asturias,1071081.0,False,23870.0,2228.5896211397644,7840.0,731.9707846558757,1.0,0.09336362049182088,7616.0,711.0573336657078,1343.0,125.38734232051544,8.5,4.0,8.5,91041.88500000001,8500.0
asturias,2009,Asturias,1076280.0,False,23730.0,2204.816590478314,8330.0,773.9621659791133,0.0,0.0,5022.0,466.6072025866875,0.0,0.0,13.42,4.0,13.42,144436.77599999998,13419.999999999998
asturias,2010,Asturias,1077103.0,False,21470.0,1993.3098320216357,8180.0,759.4445470860261,5.0,0.46420815836554163,4698.0,436.1699856002629,0.0,0.0,15.915,4.0,15.915,171420.94244999997,15914.999999999998
asturias,2011,Asturias,1075877.0,False,26560.0,2468.6836878193326,7690.0,714.7657213603413,2.0,0.1858948560104919,4602.0,427.74406368014183,0.0,0.0,17.84,4.0,17.84,191936.4568,17840.0
asturias,2012,Asturias,1074304.0,False,24310.0,2262.8604193971164,7790.0,725.1206362444894,1.0,0.09308352198260456,3406.0,317.04247587275114,0.0,0.0,21.8225,4.0,21.8225,234439.9904,21822.5
asturias,2013,Asturias,1067425.0,False,24380.0,2284.0012178841603,7050.0,660.4679485678151,1.0,0.09368339695997377,2804.0,262.6882450757664,0.0,0.0,24.1275,4.0,24.1275,257542.966875,24127.5
asturias,2014,Asturias,1058560.0,False,24860.0,2348.4733978234585,7730.0,730.2373035066505,1.0,0.09446795646916566,2905.0,274.4294135429262,0.0,0.0,21.1275,4.0,21.1275,223647.26400000002,21127.500000000004
asturias,2015,Asturias,1049328.0,False,23590.0,2248.105454157327,7880.0,750.9568028300017,3.0,0.28589725996066057,3238.0,308.5784425842063,0.0,0.0,19.11,4.0,19.11,200526.5808,19110.0
asturias,2016,Asturias,1040407.0,False,27470.0,2640.312877556572,8280.0,795.8423962929892,2.0,0.1922324628727027,4059.0,390.13578340015016,1442.0,138.59960573121865,17.6075,4.0,17.6075,183189.66252500002,17607.5
asturias,2017,Asturias,1033550.0,False,27110.0,2622.9984035605435,8220.0,795.3171109283537,0.0,0.0,4579.0,443.0361375840549,0.0,0.0,13.7125,4.0,13.7125,141725.54374999998,13712.5
asturias,2018,Asturias,1027091.0,False,31090.0,3026.995660559775,8470.0,824.6591587308233,3.0,0.2920870692080838,5625.0,547.6632547651571,0.0,0.0,13.6075,4.0,13.6075,139761.407825,13607.5
asturias,2019,Asturias,1021469.0,False,28890.0,2828.2796638958202,8960.0,877.1680785222067,0.0,0.0,7053.0,690.4761671670898,72018.0,7050.434227568335,14.1925,4.0,14.1925,144971.987825,14192.5
asturias,2020,Asturias,1018053.0,False,26500.0,2603.007898410004,7260.0,713.1259374511936,1.0,0.09822671314754733,4019.0,394.7731601399927,0.0,0.0,14.12,4.0,14.12,143749.08359999998,14120.0
asturias,2021,Asturias,1012117.0,False,25320.0,2501.687057919193,6410.0,633.3259889913913,1.0,0.09880280639491283,4261.0,420.99875804872363,0.0,0.0,12.335,4.0,12.335,124844.63195000001,12335.000000000002
